PN;T0;M;X1;X2;X3;V1;V2;V3;XR;V;Error
P 1;  5.5000000E+01;  1.9890000E+30;  3.1752810E+11;  2.6085312E+03;  0.0000000E+00; -7.1123903E+07;  9.5868498E-01;  0.0000000E+00;  3.1752810E+11;  7.1123903E+07;  0.0000000E+00
P 2;  5.5000000E+01;  1.9890000E+30; -3.1752810E+11; -2.6085312E+03;  0.0000000E+00;  7.1123903E+07; -9.5868498E-01;  0.0000000E+00;  3.1752810E+11;  7.1123903E+07;  0.0000000E+00
P 1;  6.0000000E+01;  1.9890000E+30;  3.1402999E+11;  2.5874847E+03;  0.0000000E+00; -1.1200974E+09; -7.6702944E+00;  0.0000000E+00;  3.1402999E+11;  1.1200974E+09;  0.0000000E+00
P 2;  6.0000000E+01;  1.9890000E+30; -3.1402999E+11; -2.5874847E+03;  0.0000000E+00;  1.1200974E+09;  7.6702944E+00;  0.0000000E+00;  3.1402999E+11;  1.1200974E+09;  0.0000000E+00
P 1;  6.5000000E+01;  1.9890000E+30;  3.0523501E+11;  2.5227866E+03;  0.0000000E+00; -2.1889675E+09; -1.6489546E+01;  0.0000000E+00;  3.0523501E+11;  2.1889675E+09;  0.0000000E+00
P 2;  6.5000000E+01;  1.9890000E+30; -3.0523501E+11; -2.5227866E+03;  0.0000000E+00;  2.1889675E+09;  1.6489546E+01;  0.0000000E+00;  3.0523501E+11;  2.1889675E+09;  0.0000000E+00
P 1;  7.0000000E+01;  1.9890000E+30;  2.9098420E+11;  2.4129869E+03;  0.0000000E+00; -3.2980850E+09; -2.5670045E+01;  0.0000000E+00;  2.9098420E+11;  3.2980850E+09;  0.0000000E+00
P 2;  7.0000000E+01;  1.9890000E+30; -2.9098420E+11; -2.4129869E+03;  0.0000000E+00;  3.2980850E+09;  2.5670045E+01;  0.0000000E+00;  2.9098420E+11;  3.2980850E+09;  0.0000000E+00
P 1;  7.5000000E+01;  1.9890000E+30;  2.7100157E+11;  2.2556445E+03;  0.0000000E+00; -4.4734320E+09; -3.5432719E+01;  0.0000000E+00;  2.7100157E+11;  4.4734320E+09;  0.0000000E+00
P 2;  7.5000000E+01;  1.9890000E+30; -2.7100157E+11; -2.2556445E+03;  0.0000000E+00;  4.4734320E+09;  3.5432719E+01;  0.0000000E+00;  2.7100157E+11;  4.4734320E+09;  0.0000000E+00
P 1;  8.0000000E+01;  1.9890000E+30;  2.4485100E+11;  2.0469481E+03;  0.0000000E+00; -5.7520834E+09; -4.6096067E+01;  0.0000000E+00;  2.4485100E+11;  5.7520834E+09;  0.0000000E+00
P 2;  8.0000000E+01;  1.9890000E+30; -2.4485100E+11; -2.0469481E+03;  0.0000000E+00;  5.7520834E+09;  4.6096067E+01;  0.0000000E+00;  2.4485100E+11;  5.7520834E+09;  0.0000000E+00
P 1;  8.5000000E+01;  1.9890000E+30;  2.1185026E+11;  1.7809595E+03;  0.0000000E+00; -7.1936518E+09; -5.8177025E+01;  0.0000000E+00;  2.1185026E+11;  7.1936518E+09;  0.0000000E+00
P 2;  8.5000000E+01;  1.9890000E+30; -2.1185026E+11; -1.7809595E+03;  0.0000000E+00;  7.1936518E+09;  5.8177025E+01;  0.0000000E+00;  2.1185026E+11;  7.1936518E+09;  0.0000000E+00
P 1;  9.0000000E+01;  1.9890000E+30;  1.7088332E+11;  1.4479542E+03;  0.0000000E+00; -8.9093742E+09; -7.2649943E+01;  0.0000000E+00;  1.7088332E+11;  8.9093742E+09;  0.0000000E+00
P 2;  9.0000000E+01;  1.9890000E+30; -1.7088332E+11; -1.4479542E+03;  0.0000000E+00;  8.9093742E+09;  7.2649943E+01;  0.0000000E+00;  1.7088332E+11;  8.9093742E+09;  0.0000000E+00
P 1;  9.5000000E+01;  1.9890000E+30;  1.1990280E+11;  1.0299788E+03;  0.0000000E+00; -1.1159832E+10; -9.1829016E+01;  0.0000000E+00;  1.1990280E+11;  1.1159832E+10;  0.0000000E+00
P 2;  9.5000000E+01;  1.9890000E+30; -1.1990280E+11; -1.0299788E+03;  0.0000000E+00;  1.1159832E+10;  9.1829016E+01;  0.0000000E+00;  1.1990280E+11;  1.1159832E+10;  0.0000000E+00
P 1;  1.0000000E+02;  1.9890000E+30;  5.3924915E+10;  4.8251958E+02;  0.0000000E+00; -1.4936636E+10; -1.2478098E+02;  0.0000000E+00;  5.3924915E+10;  1.4936636E+10;  0.0000000E+00
P 2;  1.0000000E+02;  1.9890000E+30; -5.3924915E+10; -4.8251958E+02;  0.0000000E+00;  1.4936636E+10;  1.2478098E+02;  0.0000000E+00;  5.3924915E+10;  1.4936636E+10;  0.0000000E+00
P 1;  1.0500000E+02;  1.9890000E+30; -2.0349536E+10; -2.3806823E+02;  0.0000000E+00; -6.8337148E+09; -8.6893845E+01;  0.0000000E+00;  2.0349536E+10;  6.8337148E+09;  0.0000000E+00
P 2;  1.0500000E+02;  1.9890000E+30;  2.0349536E+10;  2.3806823E+02;  0.0000000E+00;  6.8337148E+09;  8.6893845E+01;  0.0000000E+00;  2.0349536E+10;  6.8337148E+09;  0.0000000E+00
P 1;  1.1000000E+02;  1.9890000E+30; -1.0326032E+10; -1.3751431E+02;  0.0000000E+00;  8.5779278E+09;  1.0286545E+02;  0.0000000E+00;  1.0326032E+10;  8.5779278E+09;  0.0000000E+00
P 2;  1.1000000E+02;  1.9890000E+30;  1.0326032E+10;  1.3751431E+02;  0.0000000E+00; -8.5779278E+09; -1.0286545E+02;  0.0000000E+00;  1.0326032E+10;  8.5779278E+09;  0.0000000E+00
P 1;  1.1500000E+02;  1.9890000E+30;  5.7912307E+10;  7.8149226E+02;  0.0000000E+00;  9.8883270E+09;  1.3401649E+02;  0.0000000E+00;  5.7912307E+10;  9.8883270E+09;  0.0000000E+00
P 2;  1.1500000E+02;  1.9890000E+30; -5.7912307E+10; -7.8149226E+02;  0.0000000E+00; -9.8883270E+09; -1.3401649E+02;  0.0000000E+00;  5.7912307E+10;  9.8883270E+09;  0.0000000E+00
P 1;  1.2000000E+02;  1.9890000E+30;  9.2975239E+10;  1.2573928E+03;  0.0000000E+00;  5.3999301E+09;  7.3383734E+01;  0.0000000E+00;  9.2975239E+10;  5.3999301E+09;  0.0000000E+00
P 2;  1.2000000E+02;  1.9890000E+30; -9.2975239E+10; -1.2573928E+03;  0.0000000E+00; -5.3999301E+09; -7.3383734E+01;  0.0000000E+00;  9.2975239E+10;  5.3999301E+09;  0.0000000E+00
P 1;  1.2500000E+02;  1.9890000E+30;  1.0994475E+11;  1.4886129E+03;  0.0000000E+00;  2.1355747E+09;  2.9213000E+01;  0.0000000E+00;  1.0994475E+11;  2.1355747E+09;  0.0000000E+00
P 2;  1.2500000E+02;  1.9890000E+30; -1.0994475E+11; -1.4886129E+03;  0.0000000E+00; -2.1355747E+09; -2.9213000E+01;  0.0000000E+00;  1.0994475E+11;  2.1355747E+09;  0.0000000E+00
P 1;  1.3000000E+02;  1.9890000E+30;  1.1170124E+11;  1.5138490E+03;  0.0000000E+00; -8.2906872E+08; -1.0944634E+01;  0.0000000E+00;  1.1170124E+11;  8.2906872E+08;  0.0000000E+00
P 2;  1.3000000E+02;  1.9890000E+30; -1.1170124E+11; -1.5138490E+03;  0.0000000E+00;  8.2906872E+08;  1.0944634E+01;  0.0000000E+00;  1.1170124E+11;  8.2906872E+08;  0.0000000E+00
P 1;  1.3500000E+02;  1.9890000E+30;  9.8391454E+10;  1.3348835E+03;  0.0000000E+00; -3.9342453E+09; -5.3047691E+01;  0.0000000E+00;  9.8391454E+10;  3.9342453E+09;  0.0000000E+00
P 2;  1.3500000E+02;  1.9890000E+30; -9.8391454E+10; -1.3348835E+03;  0.0000000E+00;  3.9342453E+09;  5.3047691E+01;  0.0000000E+00;  9.8391454E+10;  3.9342453E+09;  0.0000000E+00
P 1;  1.4000000E+02;  1.9890000E+30;  6.7615174E+10;  9.1891003E+02;  0.0000000E+00; -7.8241646E+09; -1.0586017E+02;  0.0000000E+00;  6.7615174E+10;  7.8241646E+09;  0.0000000E+00
P 2;  1.4000000E+02;  1.9890000E+30; -6.7615174E+10; -9.1891003E+02;  0.0000000E+00;  7.8241646E+09;  1.0586017E+02;  0.0000000E+00;  6.7615174E+10;  7.8241646E+09;  0.0000000E+00
P 1;  1.4500000E+02;  1.9890000E+30;  7.2544066E+09;  1.0033552E+02;  0.0000000E+00; -1.6862754E+10; -2.2915656E+02;  0.0000000E+00;  7.2544066E+09;  1.6862754E+10;  0.0000000E+00
P 2;  1.4500000E+02;  1.9890000E+30; -7.2544066E+09; -1.0033552E+02;  0.0000000E+00;  1.6862754E+10;  2.2915656E+02;  0.0000000E+00;  7.2544066E+09;  1.6862754E+10;  0.0000000E+00
P 1;  1.5000000E+02;  1.9890000E+30; -2.5823255E+10; -3.5659289E+02;  0.0000000E+00;  6.7046162E+07;  4.5710557E-01;  0.0000000E+00;  2.5823255E+10;  6.7046162E+07;  0.0000000E+00
P 2;  1.5000000E+02;  1.9890000E+30;  2.5823255E+10;  3.5659289E+02;  0.0000000E+00; -6.7046162E+07; -4.5710557E-01;  0.0000000E+00;  2.5823255E+10;  6.7046162E+07;  0.0000000E+00
P 1;  1.5500000E+02;  1.9890000E+30; -3.6973747E+10; -4.7340032E+02;  0.0000000E+00; -1.8390869E+10; -2.3342392E+02;  0.0000000E+00;  3.6973747E+10;  1.8390869E+10;  0.0000000E+00
P 2;  1.5500000E+02;  1.9890000E+30;  3.6973747E+10;  4.7340032E+02;  0.0000000E+00;  1.8390869E+10;  2.3342392E+02;  0.0000000E+00;  3.6973747E+10;  1.8390869E+10;  0.0000000E+00
P 1;  1.6000000E+02;  1.9890000E+30; -1.1116851E+11; -1.4137411E+03;  0.0000000E+00; -1.3279356E+10; -1.6820897E+02;  0.0000000E+00;  1.1116851E+11;  1.3279356E+10;  0.0000000E+00
P 2;  1.6000000E+02;  1.9890000E+30;  1.1116851E+11;  1.4137411E+03;  0.0000000E+00;  1.3279356E+10;  1.6820897E+02;  0.0000000E+00;  1.1116851E+11;  1.3279356E+10;  0.0000000E+00
P 1;  1.6500000E+02;  1.9890000E+30; -1.6982908E+11; -2.1564557E+03;  0.0000000E+00; -1.0846044E+10; -1.3728697E+02;  0.0000000E+00;  1.6982908E+11;  1.0846044E+10;  0.0000000E+00
P 2;  1.6500000E+02;  1.9890000E+30;  1.6982908E+11;  2.1564557E+03;  0.0000000E+00;  1.0846044E+10;  1.3728697E+02;  0.0000000E+00;  1.6982908E+11;  1.0846044E+10;  0.0000000E+00
