# N=80
# DT=0.5
# Worker=7
# RS=0.0001
# Iterations=500000
# TS=
# Unit=1000.00
# M0=1000.0
# MMAX=6
# Report=1000
# Init_Mode=Random
# P1=
# P2=
# P3=
# P4=
# P5=
# P6=
# P7=
# P8=
# P9=
# P10=
main_task_000000000069BC70 Report_Interval= 1000
main_task_000000000069BC70 Max_Iterations= 500000
main_task_000000000069BC70 Abstract_Sync.Initialize: Number of workers:  7
S144b_00000000006A6330 Worker started 1
S144b_00000000006A6330 Worker started, My_Cpu : 2
S144b_00000000006A99F0 Worker started 2
S144b_00000000006A99F0 Worker started, My_Cpu : 3
S144b_00000000006AD090 Worker started 3
S144b_00000000006AD090 Worker started, My_Cpu : 4
S144b_00000000006B0930 Worker started 4
S144b_00000000006B0930 Worker started, My_Cpu : 5
S144b_00000000006B4450 Worker started 5
S144b_00000000006B4450 Worker started, My_Cpu : 6
S144b_00000000006B7E60 Worker started 6
S144b_00000000006B7E60 Worker started, My_Cpu : 7
S144b_00000000006BB6C0 Worker started 7
S144b_00000000006BB6C0 Worker started, My_Cpu : 1
main_task_000000000069BC70 Starting Time: 0.0000000E+00
P 20;  0.0000000E+00;  2.3974072E+03; -4.1291690E+02;  3.4738559E+02;  6.7069260E+01;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  5.4376043E+02;  0.0000000E+00;  0.0000000E+00
P 21;  0.0000000E+00;  2.3039741E+03;  3.8661737E+02;  1.6341731E+02;  3.5565848E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  5.5015558E+02;  0.0000000E+00;  0.0000000E+00
P 22;  0.0000000E+00;  4.9705918E+03; -2.6478745E+02;  3.4713702E+02; -2.6501346E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  5.1073343E+02;  0.0000000E+00;  0.0000000E+00
P 23;  0.0000000E+00;  1.0469337E+03; -4.1631830E+02;  3.6424248E+01; -3.5322751E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  5.4719039E+02;  0.0000000E+00;  0.0000000E+00
P 24;  0.0000000E+00;  2.4826772E+03; -4.3340801E+01; -2.1711171E+02;  4.9316901E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  5.4058449E+02;  0.0000000E+00;  0.0000000E+00
P 25;  0.0000000E+00;  1.0764517E+03; -3.3521677E+02; -2.3136855E+02; -1.0742175E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  4.2123760E+02;  0.0000000E+00;  0.0000000E+00
P 26;  0.0000000E+00;  3.2253594E+03; -4.0105081E+02; -1.0191679E+02; -1.1509538E+01;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  4.1395804E+02;  0.0000000E+00;  0.0000000E+00
P 27;  0.0000000E+00;  4.0595969E+03;  3.5836548E+01;  1.4907846E+02;  2.8181714E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  3.2082635E+02;  0.0000000E+00;  0.0000000E+00
P 28;  0.0000000E+00;  1.0129462E+03; -4.6819199E+02; -2.0844936E+01; -2.3705101E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  5.2519656E+02;  0.0000000E+00;  0.0000000E+00
P 29;  0.0000000E+00;  5.2084141E+03;  2.2517618E+02;  7.1595757E+01;  2.0606726E+01;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  2.3718116E+02;  0.0000000E+00;  0.0000000E+00
P 30;  0.0000000E+00;  2.7960957E+03;  2.2795290E+01;  3.6253195E+02;  2.4376199E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  4.3745737E+02;  0.0000000E+00;  0.0000000E+00
P 31;  0.0000000E+00;  4.2357354E+03; -2.1420013E+02;  2.3375652E+02; -2.2618353E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  3.8946476E+02;  0.0000000E+00;  0.0000000E+00
P 32;  0.0000000E+00;  6.5070636E+02;  3.5577185E+02; -1.6620898E+02; -3.3878232E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  5.1862558E+02;  0.0000000E+00;  0.0000000E+00
P 33;  0.0000000E+00;  2.1030259E+03;  6.9057312E+01;  9.4588127E+01; -4.7286093E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  4.8714812E+02;  0.0000000E+00;  0.0000000E+00
P 34;  0.0000000E+00;  9.0210370E+02; -2.1215773E+02;  1.3732561E+02;  3.9935965E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  4.7260698E+02;  0.0000000E+00;  0.0000000E+00
P 35;  0.0000000E+00;  1.6724333E+03; -1.4366698E+02; -4.0617502E+02;  4.8007733E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  6.4505239E+02;  0.0000000E+00;  0.0000000E+00
P 36;  0.0000000E+00;  3.2597637E+03;  2.2054181E+02;  1.0613462E+02; -8.3446144E+01;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  2.5858559E+02;  0.0000000E+00;  0.0000000E+00
P 37;  0.0000000E+00;  4.3047451E+03;  3.5734314E+02; -3.5264157E+02; -2.8739691E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  5.7848698E+02;  0.0000000E+00;  0.0000000E+00
P 38;  0.0000000E+00;  5.2610166E+03;  1.5169856E+02; -1.0236884E+02; -3.7560474E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  4.1781665E+02;  0.0000000E+00;  0.0000000E+00
P 39;  0.0000000E+00;  7.3638544E+02; -1.2967587E+01; -2.3478233E+02; -2.3185587E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  3.3022423E+02;  0.0000000E+00;  0.0000000E+00
P 40;  0.0000000E+00;  2.6555063E+03;  2.2253522E+02;  2.7973264E+02; -3.9055170E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  5.2943640E+02;  0.0000000E+00;  0.0000000E+00
P 41;  0.0000000E+00;  4.6710225E+03;  3.2385666E+02;  3.1690329E+02; -2.1393419E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  5.0107751E+02;  0.0000000E+00;  0.0000000E+00
P 42;  0.0000000E+00;  5.6920581E+03; -3.6212338E+02;  1.0828218E+02; -1.3122916E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  4.0009932E+02;  0.0000000E+00;  0.0000000E+00
P 43;  0.0000000E+00;  1.7189043E+03;  4.0533142E+02; -2.6628851E+02; -3.4098923E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  5.9285478E+02;  0.0000000E+00;  0.0000000E+00
P 44;  0.0000000E+00;  3.0857476E+03;  4.2923587E+02; -4.8402429E+02; -2.3744559E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  6.8913232E+02;  0.0000000E+00;  0.0000000E+00
P 45;  0.0000000E+00;  1.0162656E+03;  1.7429765E+02;  4.6419614E+02;  4.3999319E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  6.6291156E+02;  0.0000000E+00;  0.0000000E+00
P 46;  0.0000000E+00;  3.2901665E+03;  4.3752533E+02;  3.4381848E+02;  3.4775500E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  6.5618070E+02;  0.0000000E+00;  0.0000000E+00
P 47;  0.0000000E+00;  1.2000792E+03; -4.0498138E+01;  5.3008499E+00; -3.6976456E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  3.7201348E+02;  0.0000000E+00;  0.0000000E+00
P 48;  0.0000000E+00;  5.6626875E+03; -1.0587299E+02;  1.3654884E+02; -3.0049252E+02;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  3.4662722E+02;  0.0000000E+00;  0.0000000E+00
